Caller Type,Caller Type Words,Caller Tag,Caller Tag Words,Caller Method,Caller Method Words,Caller Super Types,Calling Super Types Words,Called  Type,Called Type Words,Called  Tagged Type,Called Tagged Type Words,Called Method,Called Method Words
unc.testables.EqualAvoidNullTestable,equal:avoid:null:testable,EqualAvoidNullTestable,equal:avoid:null:testable,didNotAvoidNullLiteral,did:not:avoid:null:literal,none,none,String,string,java.lang.String,string,equals,equals
unc.testables.EqualAvoidNullTestable,equal:avoid:null:testable,EqualAvoidNullTestable,equal:avoid:null:testable,didNotAvoidNullNamedConstant,did:not:avoid:null:named:constant,none,none,String,string,java.lang.String,string,equals,equals
unc.testables.EqualAvoidNullTestable,equal:avoid:null:testable,EqualAvoidNullTestable,equal:avoid:null:testable,avoidesNullLiteral,null:literal,none,none,String,string,java.lang.String,string,equals,equals
unc.testables.EqualAvoidNullTestable,equal:avoid:null:testable,EqualAvoidNullTestable,equal:avoid:null:testable,avoidesNullConstant,null:constant,none,none,String,string,java.lang.String,string,equals,equals
unc.testables.EqualAvoidNullTestable,equal:avoid:null:testable,EqualAvoidNullTestable,equal:avoid:null:testable,doesNotReferenceConstants,does:not:reference:constants,none,none,String,string,java.lang.String,string,equals,equals
unc.testables.EqualAvoidNullTestable,equal:avoid:null:testable,EqualAvoidNullTestable,equal:avoid:null:testable,alsoDoesNotReferenceConstants,also:does:not:reference:constants,none,none,String,string,java.lang.String,string,equals,equals
unc.testables.TestSubClass,test:sub:class,TestSubClass,test:sub:class,propertyChange,property:change,Component:PropertyChangeListener:EventListener,component:property:change:listener:event:listener,java.io.PrintStream,print:stream,java.io.PrintStream,print:stream,println,none
unc.testables.TestSubClass,test:sub:class,TestSubClass,test:sub:class,propertyChange,property:change,Component:PropertyChangeListener:EventListener,component:property:change:listener:event:listener,java.io.PrintStream,print:stream,java.io.PrintStream,print:stream,println,none
unc.testables.TestSubClass,test:sub:class,TestSubClass,test:sub:class,propertyChange,property:change,Component:PropertyChangeListener:EventListener,component:property:change:listener:event:listener,java.lang.Math,math,java.lang.Math,math,ceil,none
unc.testables.TestSubClass,test:sub:class,TestSubClass,test:sub:class,propertyChange,property:change,Component:PropertyChangeListener:EventListener,component:property:change:listener:event:listener,Math,math,java.lang.Math,math,ceil,none
unc.testables.TestSubClass,test:sub:class,TestSubClass,test:sub:class,propertyChange,property:change,Component:PropertyChangeListener:EventListener,component:property:change:listener:event:listener,java.io.PrintStream,print:stream,java.io.PrintStream,print:stream,println,none
